evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
wavlm,8,Spanish->Spanish,logistic_regression,0.875,0.9375,0.0625,0.875,0.9375,0.0625,0.9,1.0,0.85,0.875,0.9149999999999999,0.9762500000000001
wavlm,8,German->German,linear_svm,0.675,0.9,0.22499999999999998,0.675,0.9,0.22499999999999998,0.65,0.875,0.7,0.925,0.605,0.9243750000000001
wavlm,8,German->German,logistic_regression,0.675,0.875,0.19999999999999996,0.675,0.875,0.19999999999999996,0.65,0.85,0.7,0.9,0.645,0.9093750000000002
wavlm,8,Combined->Combined,linear_svm,0.75,0.8999999999999999,0.1499999999999999,0.75,0.9,0.15000000000000002,0.775,0.8875,0.725,0.9125,0.833125,0.9485937499999999
wavlm,8,Combined->Combined,logistic_regression,0.7625,0.90625,0.14375000000000004,0.7625,0.90625,0.14375000000000004,0.775,0.8875,0.75,0.925,0.82875,0.9425000000000001
wavlm,11,German->Spanish,linear_svm,0.525,0.575,0.04999999999999993,0.525,0.575,0.04999999999999993,0.75,0.85,0.3,0.3,0.6,0.65
wavlm,11,German->Spanish,logistic_regression,0.6,0.7,0.09999999999999998,0.6,0.7,0.09999999999999998,0.95,1.0,0.25,0.4,0.7000000000000001,0.7925
wavlm,11,Spanish->German,linear_svm,0.525,0.5,-0.025000000000000022,0.525,0.5,-0.025000000000000022,0.4,0.45,0.65,0.55,0.5,0.4725
wavlm,11,Spanish->German,logistic_regression,0.5,0.525,0.025000000000000022,0.5,0.525,0.025000000000000022,0.45,0.65,0.55,0.4,0.5225,0.5025000000000001
wavlm,11,Spanish->Spanish,linear_svm,0.925,0.925,0.0,0.925,0.925,0.0,0.95,0.95,0.9,0.9,0.9475,0.9868750000000001
wavlm,11,Spanish->Spanish,logistic_regression,0.8999999999999999,0.8875,-0.012499999999999956,0.9,0.8875,-0.012500000000000067,0.95,0.9,0.85,0.875,0.94,0.966875
wavlm,11,German->German,linear_svm,0.7,0.85,0.15000000000000002,0.7,0.85,0.15000000000000002,0.65,0.825,0.75,0.875,0.62625,0.9168750000000001
wavlm,11,German->German,logistic_regression,0.65,0.8374999999999999,0.1874999999999999,0.65,0.8375,0.1875,0.65,0.85,0.65,0.825,0.685,0.8750000000000001
wavlm,11,Combined->Combined,linear_svm,0.7,0.875,0.17500000000000004,0.7,0.875,0.17500000000000004,0.75,0.8875,0.65,0.8625,0.75,0.9144531249999999
wavlm,11,Combined->Combined,logistic_regression,0.6875,0.85625,0.16874999999999996,0.6875,0.85625,0.16874999999999996,0.675,0.85,0.7,0.8625,0.79,0.9040625
