model,layer,train_language,test_language,classifier,official_baseline_uar,stage4_preprocessed_original_uar,difference,absolute_difference,exact_match
wavlm,4,Spanish,Spanish,linear_svm,0.78,0.78,0.0,0.0,True
wavlm,4,Spanish,Spanish,logistic_regression,0.8,0.8,0.0,0.0,True
wavlm,4,Spanish,German,linear_svm,0.5170454545454546,0.5227272727272727,0.005681818181818121,0.005681818181818121,False
wavlm,4,Spanish,German,logistic_regression,0.5625,0.5625,0.0,0.0,True
wavlm,4,German,German,linear_svm,0.7556818181818181,0.7386363636363636,-0.017045454545454475,0.017045454545454475,False
wavlm,4,German,German,logistic_regression,0.75,0.7670454545454546,0.017045454545454586,0.017045454545454586,False
wavlm,4,German,Spanish,linear_svm,0.6799999999999999,0.66,-0.019999999999999907,0.019999999999999907,False
wavlm,4,German,Spanish,logistic_regression,0.66,0.66,0.0,0.0,True
wavlm,4,Spanish+German,Spanish+German,linear_svm,0.7826086956521738,0.7427536231884058,-0.03985507246376807,0.03985507246376807,False
wavlm,4,Spanish+German,Spanish+German,logistic_regression,0.786231884057971,0.7681159420289856,-0.018115942028985366,0.018115942028985366,False
wavlm,8,Spanish,Spanish,linear_svm,0.75,0.75,0.0,0.0,True
wavlm,8,Spanish,Spanish,logistic_regression,0.78,0.78,0.0,0.0,True
wavlm,8,Spanish,German,linear_svm,0.625,0.6193181818181818,-0.005681818181818232,0.005681818181818232,False
wavlm,8,Spanish,German,logistic_regression,0.6534090909090908,0.6534090909090908,0.0,0.0,True
wavlm,8,German,German,linear_svm,0.7386363636363636,0.7556818181818181,0.017045454545454475,0.017045454545454475,False
wavlm,8,German,German,logistic_regression,0.8181818181818181,0.8068181818181818,-0.011363636363636354,0.011363636363636354,False
wavlm,8,German,Spanish,linear_svm,0.55,0.55,0.0,0.0,True
wavlm,8,German,Spanish,logistic_regression,0.63,0.65,0.020000000000000018,0.020000000000000018,False
wavlm,8,Spanish+German,Spanish+German,linear_svm,0.7753623188405797,0.7681159420289855,-0.007246376811594235,0.007246376811594235,False
wavlm,8,Spanish+German,Spanish+German,logistic_regression,0.7971014492753623,0.8043478260869565,0.007246376811594235,0.007246376811594235,False
xlsr,0,Spanish,Spanish,linear_svm,0.78,0.78,0.0,0.0,True
xlsr,0,Spanish,Spanish,logistic_regression,0.78,0.78,0.0,0.0,True
xlsr,0,Spanish,German,linear_svm,0.5568181818181819,0.5511363636363636,-0.005681818181818232,0.005681818181818232,False
xlsr,0,Spanish,German,logistic_regression,0.5852272727272727,0.5965909090909091,0.011363636363636354,0.011363636363636354,False
xlsr,0,German,German,linear_svm,0.7443181818181819,0.7102272727272727,-0.03409090909090917,0.03409090909090917,False
xlsr,0,German,German,logistic_regression,0.75,0.7386363636363636,-0.011363636363636354,0.011363636363636354,False
xlsr,0,German,Spanish,linear_svm,0.6,0.61,0.010000000000000009,0.010000000000000009,False
xlsr,0,German,Spanish,logistic_regression,0.6000000000000001,0.6100000000000001,0.010000000000000009,0.010000000000000009,False
