evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
xlsr,8,Spanish->Spanish,linear_svm,0.8200000000000001,0.905,0.08499999999999996,0.82,0.905,0.08500000000000008,0.84,0.9,0.8,0.91,0.8732000000000001,0.9535
xlsr,8,Spanish->Spanish,logistic_regression,0.8400000000000001,0.875,0.03499999999999992,0.84,0.875,0.03500000000000003,0.8,0.82,0.88,0.93,0.8784,0.9451
xlsr,8,German->German,linear_svm,0.7897727272727273,0.8948863636363635,0.10511363636363624,0.7897727272727273,0.8948863636363636,0.10511363636363635,0.8068181818181818,0.9204545454545454,0.7727272727272727,0.8693181818181818,0.8239927685950413,0.936692923553719
xlsr,8,German->German,logistic_regression,0.7897727272727273,0.8664772727272727,0.07670454545454541,0.7897727272727273,0.8664772727272727,0.07670454545454541,0.7954545454545454,0.8693181818181818,0.7840909090909091,0.8636363636363636,0.8606663223140496,0.93359375
xlsr,8,Combined->Combined,linear_svm,0.7246376811594203,0.8677536231884058,0.14311594202898548,0.7246376811594203,0.8677536231884058,0.14311594202898548,0.7246376811594203,0.8659420289855072,0.7246376811594203,0.8695652173913043,0.8203371140516698,0.913923020373871
xlsr,8,Combined->Combined,logistic_regression,0.7608695652173914,0.8659420289855072,0.10507246376811585,0.7608695652173914,0.8659420289855072,0.10507246376811585,0.7608695652173914,0.8659420289855072,0.7608695652173914,0.8659420289855072,0.8554400336063852,0.9112843940348667
xlsr,11,German->Spanish,linear_svm,0.6000000000000001,0.5700000000000001,-0.030000000000000027,0.6,0.57,-0.030000000000000027,0.68,0.46,0.52,0.68,0.6328,0.5964
xlsr,11,German->Spanish,logistic_regression,0.66,0.7,0.039999999999999925,0.66,0.7,0.039999999999999925,0.88,0.66,0.44,0.74,0.7756000000000001,0.738
xlsr,11,Spanish->German,linear_svm,0.5909090909090909,0.6136363636363636,0.022727272727272707,0.5909090909090909,0.6136363636363636,0.022727272727272707,0.29545454545454547,0.6590909090909091,0.8863636363636364,0.5681818181818182,0.6856275826446281,0.6664514462809916
xlsr,11,Spanish->German,logistic_regression,0.5738636363636364,0.6477272727272727,0.07386363636363635,0.5738636363636364,0.6477272727272727,0.07386363636363635,0.23863636363636365,0.5568181818181818,0.9090909090909091,0.7386363636363636,0.7129390495867769,0.6853047520661156
xlsr,11,Spanish->Spanish,linear_svm,0.8,0.925,0.125,0.8,0.925,0.125,0.8,0.87,0.8,0.98,0.8755999999999999,0.9691000000000001
xlsr,11,Spanish->Spanish,logistic_regression,0.8300000000000001,0.8700000000000001,0.040000000000000036,0.83,0.87,0.040000000000000036,0.78,0.81,0.88,0.93,0.8852,0.9482
